,User,Day in Study,Time of Day,Brush Time,Day Type,Proportion Brushed In Past 7 Days
117,P2_014,3,1,174.0,0,0.0
118,P2_014,4,0,158.0,0,0.0
119,P2_014,4,1,208.0,0,0.0
120,P2_014,5,0,103.0,0,0.0
121,P2_014,5,1,154.0,0,0.0
122,P2_014,6,0,112.0,1,0.0
123,P2_014,6,1,126.0,1,0.0
124,P2_014,7,0,105.0,1,0.0
125,P2_014,7,1,130.0,1,0.0
126,P2_014,8,0,102.0,0,1.0
127,P2_014,8,1,123.0,0,1.0
128,P2_014,9,0,83.0,0,1.0
129,P2_014,9,1,210.0,0,1.0
130,P2_014,10,0,98.0,0,1.0
131,P2_014,10,1,150.0,0,1.0
132,P2_014,11,0,116.0,0,1.0
133,P2_014,11,1,126.0,0,1.0
134,P2_014,12,0,110.0,0,1.0
135,P2_014,12,1,86.0,0,1.0
136,P2_014,13,0,100.0,1,1.0
137,P2_014,13,1,198.0,1,1.0
138,P2_014,14,0,0.0,1,1.0
139,P2_014,14,1,111.0,1,0.9285714285714286
140,P2_014,15,0,96.0,0,0.9285714285714286
141,P2_014,15,1,123.0,0,0.9285714285714286
142,P2_014,16,0,0.0,0,0.9285714285714286
143,P2_014,16,1,108.0,0,0.8571428571428571
144,P2_014,17,0,106.0,0,0.8571428571428571
145,P2_014,17,1,122.0,0,0.8571428571428571
146,P2_014,18,0,80.0,0,0.8571428571428571
147,P2_014,18,1,111.0,0,0.8571428571428571
148,P2_014,19,0,101.0,0,0.8571428571428571
149,P2_014,19,1,0.0,0,0.8571428571428571
150,P2_014,20,0,0.0,1,0.7857142857142857
151,P2_014,20,1,95.0,1,0.7142857142857143
152,P2_014,21,0,0.0,1,0.7142857142857143
153,P2_014,21,1,96.0,1,0.7142857142857143
154,P2_014,22,0,97.0,0,0.7142857142857143
155,P2_014,22,1,106.0,0,0.7142857142857143
156,P2_014,23,0,126.0,0,0.7142857142857143
157,P2_014,23,1,109.0,0,0.7857142857142857
158,P2_014,24,0,102.0,0,0.7857142857142857
159,P2_014,24,1,0.0,0,0.7857142857142857
160,P2_014,25,0,98.0,0,0.7142857142857143
161,P2_014,25,1,119.0,0,0.7142857142857143
162,P2_014,26,0,28.0,0,0.7142857142857143
163,P2_014,26,1,129.0,0,0.7142857142857143
164,P2_014,27,0,128.0,1,0.7857142857142857
165,P2_014,27,1,155.0,1,0.8571428571428571
166,P2_014,28,0,95.0,1,0.8571428571428571
167,P2_014,28,1,158.0,1,0.9285714285714286
168,P2_017,1,0,180.0,0,0.0
169,P2_017,1,1,183.0,0,0.0
170,P2_017,2,0,218.0,0,0.0
171,P2_017,2,1,141.0,0,0.0
172,P2_017,3,0,128.0,0,0.0
173,P2_017,3,1,133.0,0,0.0
174,P2_017,4,0,131.0,0,0.0
175,P2_017,4,1,145.0,0,0.0
176,P2_017,5,0,138.0,0,0.0
177,P2_017,5,1,0.0,0,0.0
178,P2_017,6,0,0.0,1,0.0
179,P2_017,6,1,152.0,1,0.0
180,P2_017,7,0,121.0,1,0.0
181,P2_017,7,1,127.0,1,0.0
182,P2_017,8,0,135.0,0,0.8571428571428571
183,P2_017,8,1,153.0,0,0.8571428571428571
184,P2_017,9,0,157.0,0,0.8571428571428571
185,P2_017,9,1,123.0,0,0.8571428571428571
186,P2_017,10,0,137.0,0,0.8571428571428571
187,P2_017,10,1,144.0,0,0.8571428571428571
188,P2_017,11,0,127.0,0,0.8571428571428571
189,P2_017,11,1,130.0,0,0.8571428571428571
190,P2_017,12,0,125.0,0,0.8571428571428571
191,P2_017,12,1,0.0,0,0.8571428571428571
192,P2_017,13,0,129.0,1,0.8571428571428571
193,P2_017,13,1,0.0,1,0.9285714285714286
194,P2_017,14,0,125.0,1,0.8571428571428571
195,P2_017,14,1,121.0,1,0.8571428571428571
196,P2_017,15,0,125.0,0,0.8571428571428571
197,P2_017,15,1,124.0,0,0.8571428571428571
198,P2_017,16,0,126.0,0,0.8571428571428571
199,P2_017,16,1,126.0,0,0.8571428571428571
200,P2_017,17,0,121.0,0,0.8571428571428571
201,P2_017,17,1,126.0,0,0.8571428571428571
202,P2_017,18,0,123.0,0,0.8571428571428571
203,P2_017,18,1,143.0,0,0.8571428571428571
204,P2_017,19,0,143.0,0,0.8571428571428571
205,P2_017,19,1,0.0,0,0.8571428571428571
206,P2_017,20,0,128.0,1,0.8571428571428571
207,P2_017,20,1,123.0,1,0.8571428571428571
208,P2_017,21,0,122.0,1,0.9285714285714286
209,P2_017,21,1,129.0,1,0.9285714285714286
210,P2_017,22,0,123.0,0,0.9285714285714286
211,P2_017,22,1,126.0,0,0.9285714285714286
212,P2_017,23,0,151.0,0,0.9285714285714286
213,P2_017,23,1,140.0,0,0.9285714285714286
214,P2_017,24,0,132.0,0,0.9285714285714286
215,P2_017,24,1,136.0,0,0.9285714285714286
216,P2_017,25,0,123.0,0,0.9285714285714286
217,P2_017,25,1,0.0,0,0.9285714285714286
218,P2_017,26,0,130.0,0,0.8571428571428571
219,P2_017,26,1,142.0,0,0.8571428571428571
220,P2_017,27,0,129.0,1,0.9285714285714286
221,P2_017,27,1,121.0,1,0.9285714285714286
222,P2_017,28,0,124.0,1,0.9285714285714286
223,P2_017,28,1,122.0,1,0.9285714285714286
224,P2_019,1,0,173.0,0,0.0
225,P2_019,1,1,130.0,0,0.0
226,P2_019,2,0,128.0,0,0.0
227,P2_019,2,1,132.0,0,0.0
228,P2_019,3,0,0.0,0,0.0
229,P2_019,3,1,118.0,0,0.0
230,P2_019,4,0,74.0,0,0.0
231,P2_019,4,1,0.0,0,0.0
232,P2_019,5,0,141.0,1,0.0
233,P2_019,5,1,81.0,1,0.0
234,P2_019,6,0,0.0,1,0.0
235,P2_019,6,1,96.0,1,0.0
236,P2_019,7,0,0.0,0,0.0
237,P2_019,7,1,72.0,0,0.0
238,P2_019,8,0,0.0,0,0.7142857142857143
239,P2_019,8,1,0.0,0,0.6428571428571429
240,P2_019,9,0,0.0,0,0.5714285714285714
241,P2_019,9,1,92.0,0,0.5
242,P2_019,10,0,65.0,0,0.5
243,P2_019,10,1,0.0,0,0.5714285714285714
244,P2_019,11,0,166.0,0,0.5
245,P2_019,11,1,0.0,0,0.5
246,P2_019,12,0,74.0,1,0.5
247,P2_019,12,1,80.0,1,0.5
248,P2_019,13,0,100.0,1,0.5
249,P2_019,13,1,66.0,1,0.5714285714285714
250,P2_019,14,0,161.0,0,0.5714285714285714
251,P2_019,14,1,70.0,0,0.6428571428571429
252,P2_019,15,0,0.0,0,0.6428571428571429
253,P2_019,15,1,67.0,0,0.6428571428571429
254,P2_019,16,0,0.0,0,0.7142857142857143
255,P2_019,16,1,116.0,0,0.7142857142857143
256,P2_019,17,0,0.0,0,0.7142857142857143
257,P2_019,17,1,0.0,0,0.6428571428571429
258,P2_019,18,0,0.0,0,0.6428571428571429
259,P2_019,18,1,0.0,0,0.5714285714285714
260,P2_019,19,0,112.0,1,0.5714285714285714
261,P2_019,19,1,70.0,1,0.5714285714285714
262,P2_019,20,0,0.0,1,0.5714285714285714
263,P2_019,20,1,112.0,1,0.5
264,P2_019,21,0,0.0,0,0.5
265,P2_019,21,1,0.0,0,0.42857142857142855
266,P2_019,22,0,172.0,0,0.35714285714285715
267,P2_019,22,1,65.0,0,0.42857142857142855
268,P2_019,23,0,146.0,0,0.42857142857142855
269,P2_019,23,1,0.0,0,0.5
270,P2_019,24,0,0.0,0,0.42857142857142855
271,P2_019,24,1,92.0,0,0.42857142857142855
272,P2_019,25,0,201.0,0,0.5
273,P2_019,25,1,0.0,0,0.5714285714285714
274,P2_019,26,0,0.0,1,0.5714285714285714
275,P2_019,26,1,0.0,1,0.5
276,P2_019,27,0,61.0,1,0.42857142857142855
277,P2_019,27,1,0.0,1,0.5
278,P2_019,28,0,0.0,0,0.42857142857142855
279,P2_019,28,1,0.0,0,0.42857142857142855
280,P2_020,1,0,177.0,0,0.0
281,P2_020,1,1,0.0,0,0.0
282,P2_020,2,0,0.0,0,0.0
283,P2_020,2,1,0.0,0,0.0
284,P2_020,3,0,214.0,0,0.0
285,P2_020,3,1,187.0,0,0.0
286,P2_020,4,0,197.0,0,0.0
287,P2_020,4,1,242.0,0,0.0
288,P2_020,5,0,0.0,0,0.0
289,P2_020,5,1,145.0,0,0.0
290,P2_020,6,0,162.0,1,0.0
291,P2_020,6,1,170.0,1,0.0
292,P2_020,7,0,196.0,1,0.0
293,P2_020,7,1,232.0,1,0.0
294,P2_020,8,0,0.0,0,0.7142857142857143
295,P2_020,8,1,191.0,0,0.6428571428571429
296,P2_020,9,0,0.0,0,0.7142857142857143
297,P2_020,9,1,0.0,0,0.7142857142857143
298,P2_020,10,0,171.0,0,0.7142857142857143
299,P2_020,10,1,0.0,0,0.7142857142857143
300,P2_020,11,0,218.0,0,0.6428571428571429
301,P2_020,11,1,194.0,0,0.6428571428571429
302,P2_020,12,0,166.0,0,0.6428571428571429
303,P2_020,12,1,0.0,0,0.7142857142857143
304,P2_020,13,0,175.0,1,0.6428571428571429
305,P2_020,13,1,191.0,1,0.6428571428571429
306,P2_020,14,0,163.0,1,0.6428571428571429
307,P2_020,14,1,182.0,1,0.6428571428571429
308,P2_020,15,0,0.0,0,0.6428571428571429
309,P2_020,15,1,104.0,0,0.6428571428571429
310,P2_020,16,0,162.0,0,0.6428571428571429
311,P2_020,16,1,0.0,0,0.7142857142857143
312,P2_020,17,0,0.0,0,0.7142857142857143
313,P2_020,17,1,146.0,0,0.6428571428571429
314,P2_020,18,0,191.0,0,0.7142857142857143
315,P2_020,18,1,198.0,0,0.7142857142857143
316,P2_020,19,0,137.0,0,0.7142857142857143
317,P2_020,19,1,161.0,0,0.7142857142857143
318,P2_020,20,0,126.0,1,0.7857142857142857
319,P2_020,20,1,166.0,1,0.7857142857142857
320,P2_020,21,0,183.0,1,0.7857142857142857
321,P2_020,21,1,164.0,1,0.7857142857142857
322,P2_020,22,0,132.0,0,0.7857142857142857
323,P2_020,22,1,160.0,0,0.8571428571428571
324,P2_020,23,0,0.0,0,0.8571428571428571
325,P2_020,23,1,175.0,0,0.7857142857142857
326,P2_020,24,0,161.0,0,0.8571428571428571
327,P2_020,24,1,187.0,0,0.9285714285714286
328,P2_020,25,0,146.0,0,0.9285714285714286
329,P2_020,25,1,0.0,0,0.9285714285714286
330,P2_020,26,0,174.0,0,0.8571428571428571
331,P2_020,26,1,164.0,0,0.8571428571428571
332,P2_020,27,0,170.0,1,0.8571428571428571
333,P2_020,27,1,0.0,1,0.8571428571428571
334,P2_020,28,0,170.0,1,0.7857142857142857
335,P2_020,28,1,176.0,1,0.7857142857142857
336,P2_021,1,0,0.0,0,0.0
337,P2_021,1,1,25.0,0,0.0
338,P2_021,2,0,84.0,0,0.0
339,P2_021,2,1,0.0,0,0.0
340,P2_021,3,0,120.0,0,0.0
341,P2_021,3,1,0.0,0,0.0
342,P2_021,4,0,0.0,0,0.0
343,P2_021,4,1,0.0,0,0.0
344,P2_021,5,0,96.0,0,0.0
345,P2_021,5,1,0.0,0,0.0
346,P2_021,6,0,0.0,1,0.0
347,P2_021,6,1,90.0,1,0.0
348,P2_021,7,0,0.0,1,0.0
349,P2_021,7,1,114.0,1,0.0
350,P2_021,8,0,88.0,0,0.42857142857142855
351,P2_021,8,1,151.0,0,0.5
352,P2_021,9,0,113.0,0,0.5
353,P2_021,9,1,0.0,0,0.5
354,P2_021,10,0,0.0,0,0.5
355,P2_021,10,1,129.0,0,0.42857142857142855
356,P2_021,11,0,123.0,0,0.5
357,P2_021,11,1,0.0,0,0.5714285714285714
358,P2_021,12,0,187.0,0,0.5714285714285714
359,P2_021,12,1,0.0,0,0.5714285714285714
360,P2_021,13,0,96.0,1,0.5714285714285714
